Literal Lemma;IWN ID;MariTerm ID;IWN sense;MariT sense;Gloss S. (WM);Total S.;T. Relation S.;Malus;Bonus;MariTerm Gloss
pescaia;N#18909;N#2028;1;1;1.00;1.00;0.00;0.00;0.00;sbarramento collocato lungo il corso di un fiume
pesce;N#49143;N#2034;3;3;1.00;1.00;0.00;0.00;0.00;il pesce commestibile usato come alimento
pesista;N#10888;N#2043;1;1;1.00;1.00;0.00;0.00;0.00;atleta che pratica il sollevamento pesi
prendere;V#39802;V#485;3;1;1.00;1.00;0.00;0.00;0.00;giungere in possesso di qualcosa
radio;N#6072;N#213;2;2;1.00;1.00;0.00;0.00;0.00;apparecchio radiofonico
radio;N#6074;N#214;4;3;1.00;1.00;0.00;0.00;0.00;sistema di trasmissione
ricevuta;N#10082;N#266;1;1;1.00;1.00;0.00;0.00;0.00;tagliando che attesta un pagamento
riserva_marina;N#24117;N#2585;1;1;1.00;1.00;0.00;0.00;0.00;area marina protetta spec per le sue caratteristiche ecologiche
ritardo;N#7701;N#523;1;1;1.00;1.00;0.00;0.00;0.00;il tempo di cui si ritarda
ruotare;V#36536;V#1770;1;1;1.00;1.00;0.00;0.00;0.00;muoversi in giro  ruotare intorno ad un asse o ad un punto
sagoma;N#21178;N#524;1;1;1.00;1.00;0.00;0.00;0.00;linea di contorno di una cosa
sbarco;N#9708;N#267;2;1;1.00;1.00;0.00;0.00;0.00;operazione di togliere il carico
scassa;N#6647;N#1423;1;1;1.00;1.00;0.00;0.00;0.00;l alloggiamento del piede dell albero  nelle imbarcazioni a vela
scia;N#11785;N#1425;2;1;1.00;1.00;0.00;0.00;0.00;traccia lasciata da qualcosa nell aria  sulla terra o nell acqua
soffiare;V#40138;V#2582;3;3;1.00;1.00;0.00;0.00;0.00;detto del vento
statuizione;N#11406;N#2058;1;1;1.00;1.00;0.00;0.00;0.00;deliberazione  ordine  decisione di un autorità
Stella Polare;NP#49728;NP#547;1;1;1.00;1.00;0.00;0.00;0.00;nave militare
tempo;N#14304;N#2274;4;4;1.00;1.00;0.00;0.00;0.00;età  soprattutto quando riferita a bambini molto piccoli  gli anni
tempo;N#14308;N#2278;10;10;1.00;1.00;0.00;0.00;0.00;caratteristica grammaticale dei verbi atta ad esprimere distinzioni temporali nell azione
transito;N#1285;N#276;1;1;1.00;1.00;0.00;0.00;0.00;passaggio  il passare
velista;N#3012;N#165;1;1;1.00;1.00;0.00;0.00;0.00;atleta degli sport della vela
Vittorio Veneto;NP#49673;NP#551;1;1;1.00;1.00;0.00;0.00;0.00;nave militare
Amerigo_Vespucci;NP#45687;NP#1254;1;1;1.00;1.00;0.00;0.00;0.00;navigatore firenze 1454siviglia 1512
committente;N#9161;N#599;1;1;1.00;1.00;0.00;0.00;0.00;chi attraverso un commissionario fa acquisti o vendite di merci o di titoli
cotto;N#12715;N#2124;2;2;1.00;1.00;0.00;0.00;0.00;mosto concentrato tramite bollitura
Cristoforo_Colombo;NP#47349;NP#1249;1;1;1.00;1.00;0.00;0.00;0.00;navigatore genova 1451valladolid 1506
gasolio;N#2739;N#2077;1;1;1.00;1.00;0.00;0.00;0.00;liquido
imballo;N#4701;N#258;2;2;1.00;1.00;0.00;0.00;0.00;l involucro usato per imballare
import;N#6122;N#2183;2;2;1.00;1.00;0.00;0.00;0.00;l importare
marinaio;N#12639;N#53;3;3;1.00;1.00;0.00;0.00;0.00;uomo di mare  esperto di mare
marinaio;N#49706;N#54;4;4;1.00;1.00;0.00;0.00;0.00;nella marina mercantile  qualifica del personale di coperta maggiorenne e con almeno due anni di servizio
meteoropatico;AG#50781;AG#2578;1;1;1.00;1.00;0.00;0.00;0.00;che soffre di meteoropatia
minerale;N#27801;N#2074;1;1;1.00;1.00;0.00;0.00;0.00;sostanza solida inorganica omogenea
mittente;N#31209;N#487;1;1;1.00;1.00;0.00;0.00;0.00;chi invia una lettera  un pacco ecc  per posta  posta elettronica  corriere ecc
pescato;N#10667;N#2029;1;1;1.00;1.00;0.00;0.00;0.00;quantità di pesce pescato
pescatore;N#2628;N#2030;1;1;1.00;1.00;0.00;0.00;0.00;chi si dedica alla pesca per mestiere o per sport
pesce;N#26754;N#2033;2;2;1.00;1.00;0.00;0.00;0.00;errore di stampa che consiste nel saltare una parola o una frase dell originale
provento;N#12728;N#2189;1;1;1.00;1.00;0.00;0.00;0.00;denaro che risulta dalla differenza tra incassi e spese  ciò che si ottiene economicamente  profitto
reclamo;N#7020;N#265;1;1;1.00;1.00;0.00;0.00;0.00;lamentanza
scartamento;N#17699;N#525;1;1;1.00;1.00;0.00;0.00;0.00;distanza tra le rotaie
sommergibile;AG#43194;AG#567;1;1;1.00;1.00;0.00;0.00;0.00;che si può sommergere
