Shared Lemma;MarT_WM_ID;IWN_WM_ID
porto commerciale;N#91;N#49656
porto di rifornimento;N#92;N#49658
porto di velocità;N#93;N#49657
porto industriale;N#94;N#49659
porto petrolifero;N#95;N#49660
Porto_Cesareo;NP#2594;NP#48597
Porto_Santo_Stefano;NP#1227;NP#48025
Porto_Vesme;NP#1229;NP#45676
Portoferraio;NP#1230;NP#46439
Portofino;NP#2595;NP#48594
portolano;N#1666;N#14615
Portsmouth;NP#1231;NP#48297
portuale;N#129;AG#42446
posamine;N#562;N#3900
posareti;N#563;N#15750
posizione;N#510;N#16106
postale;N#793;AG#42754
potenza;N#2051;N#300
pozza;N#2621;N#31687
Pozzuoli;NP#2388;NP#47107
precipitazione;N#2495;N#12402
premiare;V#2127;V#37254
premio;N#2128;N#3247
prendere;V#2147;V#40747
prenotazione;N#650;N#23879
privilegio;N#614;N#11578
Procida;NP#2389;NP#45861
prodotto;N#644;N#27278
proprietà;N#2138;N#11294
prora;N#212;N#19252
proroga;N#2703;N#8223
provento;N#2189;N#12728
Providence;NP#1232;NP#46398
provino;N#594;N#3946
prueggiare;V#663;V#32589
psicrometro;N#2538;N#26459
puleggia;N#1658;N#11843
