Shared Lemma;IWN_WM_ID;MarT_WM_ID
isoterma;N#16150;N#1605
Istanbul;NP#46741;NP#1165
istmo;N#8469;N#1604
Kalmar;NP#46836;NP#1166
Karlstad;NP#45538;NP#1167
Kiel;NP#46335;NP#2455
La_Valletta;NP#48214;NP#1169
lago;N#22484;N#2620
lamiera;N#11162;N#2072
lancia;N#24022;N#1339
lanciamissili;N#49590;N#560
lanciarazzi;N#15566;N#1340
landa;N#5070;N#1635
larghezza;N#11632;N#1636
Larne;NP#47336;NP#1170
Las_Palmas;NP#47213;NP#1171
lasco;N#31267;AG#1637
latitudine;N#20531;N#1361
lavoratore;N#21748;N#482
Le_Havre;NP#45987;NP#1172
legno;N#50324;N#1646
Leith;NP#46678;NP#1173
levante;N#6372;N#2517
Limerick;NP#45573;NP#1188
linea;N#10008;N#2285
lino;N#9923;N#724
liquidazione;N#20463;N#527
Lisbona;NP#47627;NP#660
listino;N#15092;N#261
Liverpool;NP#46845;NP#1189
Livorno;NP#47742;NP#121
logistica;N#16278;N#2002
Londonderry;NP#45857;NP#1190
Londra;NP#45891;NP#2421
longitudine;N#958;N#1360
lossodromia;N#25275;N#1643
Lowestoft;NP#46324;NP#1191
Lubecca;NP#45516;NP#1192
Luderitz;NP#47407;NP#1193
lunghezza;N#30588;N#1644
luogo;N#14258;N#205
madiere;N#3653;N#1342
Madras;NP#46234;NP#1194
maestrale;N#17237;N#991
magazzino;N#16462;N#262
mal_di_mare;N#5634;N#1408
Malaga;NP#47010;NP#1195
Malmoe;NP#45580;NP#1196
Manchester;NP#46145;NP#2422
manifestazione;N#25811;N#2134
manifesto;N#20167;N#696
mano;N#7300;N#2018
manovra;N#49704;N#638
manovrabile;AG#50097;AG#1382
manovrare;V#32467;V#708
manutenzione;N#3042;N#1710
mappa;N#7647;N#1134
Maputo;NP#48018;NP#1206
Mar dei Caraibi;NP#46915;NP#2053
Mar dei Sargassi;NP#50727;NP#2056
Mar_Baltico;NP#45854;NP#2059
Mar_Cinese_Meridionale;NP#47901;NP#2060
Mar_Cinese_Orientale;NP#46081;NP#2061
Mar_dei_Coralli;NP#47030;NP#2062
Mar_del_Giappone;NP#45797;NP#2063
Mar_del_Nord;NP#46688;NP#2064
Mar_di_Sardegna;NP#46326;NP#2065
Mar_Eussino;NP#47011;NP#2066
Mar_Giallo;NP#47948;NP#2067
Mar_Nero;NP#46583;NP#2068
Mar_Rosso;NP#47639;NP#2069
marcia;N#6693;N#1387
mare;N#12665;N#2728
Mare-Nostrum;NP#46524;NP#2055
marea;N#27207;N#192
mareggiata;N#9059;N#1174
mareografo;N#29021;N#2551
maretta;N#7270;N#748
marina;N#22041;N#2243
Marina_di_Carrara;NP#46289;NP#50
marinaio;N#49706;N#54
marinaro;AG#41360;N#52
marmo;N#1444;N#2049
marra;N#31285;N#669
Marsiglia;NP#47922;NP#2145
marò;N#9042;N#2717
Mascat;NP#45811;NP#1207
materiale;AG#45319;N#1645
mattone;N#30731;N#2119
Mazara_del_Vallo;NP#47784;NP#1208
medico di bordo;N#50532;N#803
Mercato_Comune_Europeo;NP#46117;NP#2354
meridiano;N#7290;N#1719
messaggio;N#16880;N#1445
Messina;NP#45816;NP#2448
meteorologia;N#8736;N#988
meteorologicamente;AV#48897;AV#2574
meteorologico;AG#43363;AG#2575
meteorologo;N#30303;N#2576
meteoropatia;N#28723;N#2577
meteoropatico;AG#50781;AG#2578
mezzo;AG#49950;N#2073
miglio;N#8702;N#1176
Milazzo;NP#48636;NP#2379
Milford_Haven;NP#46030;NP#1209
militare;AG#45428;N#2142
millibar;N#17817;N#1259
minerale;N#27801;N#2074
Miramare;NP#47375;NP#2592
missiva;N#8367;N#260
mistral;N#12804;N#1262
misurare;V#38837;V#1007
mittente;N#31209;N#487
mollare;V#34659;V#1263
molo;N#28444;N#194
Monfalcone;NP#46867;NP#1211
Monopoli;NP#48283;NP#1212
monotipo;N#1525;N#1723
monsone;N#17557;N#2499
Montego_Bay;NP#48570;NP#1213
morire;V#33565;V#2709
Morse;NP#49517;NP#290
moschettone;N#18388;N#1724
moto;N#27988;N#1789
motore;N#4887;N#195
motoscafo;N#22349;N#539
movimento;N#5452;N#2280
mozzo;N#8823;N#812
muovere;V#34893;V#1430
muoversi;V#35648;V#2573
murata;N#13132;N#459
muro;N#17692;N#2126
Nacala;NP#46772;NP#1214
nadir;N#25339;N#1344
Nakskov;NP#47657;NP#1215
Namibe;NP#47003;NP#1216
Nantes;NP#46318;NP#1217
Napoli;NP#45605;NP#2380
naufragare;V#37343;V#1522
naufragio;N#29731;N#1523
naufrago;N#8810;N#1524
nautica;N#21913;N#1525
navale;AG#41664;AG#10
navalmeccanica;N#13779;N#11
nave;N#23462;N#6
nave a carroponte;N#49616;N#13
nave autosbarcante;N#49652;N#14
nave bacino;N#49671;N#15
nave da crociera;N#49669;N#17
nave frigo;N#49661;N#18
nave militare;N#49583;N#20
nave per carico secco;N#49649;N#22
nave Roll on-Roll off;N#49653;N#25
Nave_Argo;NP#45527;NP#28
nave_da_pesca;N#6497;N#29
navetta;N#17401;N#32
navetta_spaziale;N#17402;N#33
navicella;N#27992;N#34
navigabile;AG#45433;AG#36
navigabilità;N#6947;N#37
navigare;V#50003;V#2688
navigatore;N#19404;N#2689
navigazione;N#49711;N#45
navigazione astronomica;N#49713;N#473
navigazione d'altura;N#49710;N#206
navigazione mista;N#49712;N#207
navigazione piana;N#49714;N#474
navigazione stimata;N#49715;N#475
navigazione strumentale;N#49716;N#476
nebbia;N#9537;N#1527
nembo;N#8727;N#1528
nembostrato;N#30998;N#2542
neve;N#51349;N#2496
Newport;NP#47868;NP#1219
nodo;N#9240;N#390
noleggiare;V#38789;V#315
nolo;N#9199;N#820
nord-est;N#1936;N#999
North_Atlantic_Treaty_Organization_(Organizzazione_del_Trattato_nord_atlantico);NP#48423;NP#2355
nostromo;N#11089;N#810
nube;N#2688;N#963
nulla_osta;N#29240;N#516
numero;N#17389;N#2724
nuvolosità;N#27957;N#2528
Nyborg;NP#48501;NP#1220
oblò;N#14227;N#852
occaso;N#19554;N#1000
occhiello;N#9336;N#855
Oceania;NP#46037;NP#2633
oceano;N#4824;N#2014
Odense;NP#48464;NP#1221
oggetto;N#4716;N#645
Olbia;NP#47409;NP#2256
olimpiade;N#27964;N#2082
olio;N#24826;N#2178
omaggio;N#22088;N#2129
onda;N#27475;N#1496
ora;AV#48835;N#2279
orario;N#3345;N#2282
organico;AG#44281;N#1258
organismo;N#25450;N#2023
organizzazione;N#1174;N#2353
Organizzazione_delle_Nazioni_Unite;NP#45786;NP#2356
orientare;V#32228;V#857
oriente;N#6373;N#1001
ormeggiare;V#34974;V#202
ormeggio;N#49809;N#529
orza;N#16159;N#847
orzata;N#22952;N#848
Oslo;NP#47196;NP#1222
Ostenda;NP#46217;NP#1223
osteriggio;N#9189;N#850
ostro;N#18679;N#997
ottante;N#49619;N#2174
Owendo;NP#48439;NP#1224
Pacifico;NP#46429;NP#2016
paese;N#16107;N#2671
pagaia;N#30993;N#1538
pagliolo;N#27670;N#858
Palermo;NP#47527;NP#2382
paranco;N#22288;N#910
parco_naturale;N#2558;N#2622
parete;N#11001;N#796
Parigi;NP#47556;NP#2351
parola;N#26082;N#2245
parrocchetto;N#27699;N#667
parte;N#12349;N#421
partecipazione;N#13592;N#1447
partenza;N#30957;N#2286
partire;V#32349;V#2287
passascotte;N#22909;N#1542
passerella;N#4261;N#1545
patino;N#7612;N#540
Patrasso;NP#45603;NP#2411
Penisola_del_Sinis-Isola_Mal_di_Ventre;NP#46310;NP#2593
penna;N#5025;N#1548
pennone;N#9462;N#881
Pensacola;NP#45491;NP#1225
percorrere;V#32708;V#2687
percorso;N#6496;N#2727
periodo;N#12102;N#2272
periplo;N#5585;N#2686
persona;N#49693;N#2132
perturbazione;N#27172;N#2504
pesata;N#80;N#2024
pesca;N#21312;N#2027
pescaia;N#18909;N#2028
pescare;V#37044;V#1550
pescato;N#10667;N#2029
pescatore;N#2629;N#2031
pesce;N#49143;N#2034
pesce_angelo;N#30544;N#2035
pesce_volante;N#10202;N#2036
pescecane;N#1191;N#2037
pescheria;N#27210;N#2038
peschiera;N#14849;N#2039
pesciaiola;N#26738;N#2040
peseta;N#8883;N#2042
pesista;N#10888;N#2043
pesistica;N#23181;N#2044
peso;N#31194;N#2045
petroliera;N#49647;N#859
piano;AG#42678;N#1562
picco;N#11590;N#1552
piede;N#24695;N#1556
pilotina;N#15799;N#541
pioggia;N#22945;N#2506
Piombino;NP#46424;NP#2383
pirata;N#24341;N#2241
pireliometro;N#30663;N#2553
piroga;N#24007;N#542
piroscafo;N#15999;N#2348
pistola;N#2671;N#1341
planare;V#35456;V#1414
pluviometro;N#26392;N#2537
poggiare;V#35169;V#1655
Pola;NP#47867;NP#2342
polena;N#14297;N#2705
pollice;N#4978;N#1576
Polo_Sud;NP#46154;NP#2634
ponente;N#19556;N#2501
ponte;N#649;N#384
pontone;N#28845;N#378
Poole;NP#48210;NP#1226
poppa;N#14121;N#211
poppavia;N#25863;N#1583
poppiero;AG#45444;AG#1586
